ID,Label,AGE,GENDER,MARITAL_STATUS,MONTHLY_INCOME_WHITHOUT_TAX,LOANTYPE,GAGE_TOTLE_PRICE,APPLY_AMOUNT,APPLY_TERM_TIME,APPLY_INTEREST_RATE,PAYMENT_TYPE
270,1,2,0,0,0,0,1,0,4,1,0
271,1,2,1,0,0,1,1,0,4,1,0
272,0,2,0,0,0,0,1,0,4,4,0
273,1,2,0,0,0,0,0,1,4,3,0
274,0,2,0,0,0,0,1,0,4,3,0
275,1,2,0,0,0,1,4,2,4,1,0
276,0,2,1,0,0,1,4,2,4,0,0
277,1,2,0,2,0,1,1,0,4,3,0
278,1,2,0,2,0,1,4,2,4,1,0
279,0,2,1,0,0,0,1,0,4,2,0
280,1,2,1,0,3,1,1,0,4,0,0
281,1,2,1,0,0,0,1,0,4,1,1
282,0,2,1,0,0,0,4,0,4,0,1
283,0,2,1,0,0,1,4,2,4,0,0
284,0,2,1,0,0,1,0,2,4,0,1
285,0,2,1,0,0,1,4,0,4,4,0
286,1,2,1,0,0,1,4,2,4,3,0
287,1,2,1,2,0,1,1,0,4,4,0
288,1,2,1,3,0,1,1,0,4,1,1
289,1,2,0,0,0,1,1,0,4,1,0
290,0,2,1,0,0,1,0,2,4,4,1
291,1,2,1,0,0,0,1,0,4,2,0
292,0,2,0,2,0,1,4,0,4,0,1
293,1,2,1,0,0,1,1,2,4,1,1
294,0,2,0,0,0,1,4,0,4,4,0
295,1,2,0,0,0,1,1,0,4,3,0
296,0,2,0,0,0,1,4,0,4,0,0
297,1,2,0,0,3,1,1,0,4,3,0
298,1,2,0,0,3,1,1,0,4,3,0
299,1,2,0,2,0,1,4,0,4,1,0
300,1,2,0,0,0,1,4,2,4,0,1
301,1,2,1,0,0,1,4,2,4,1,0
302,1,2,1,0,0,1,0,1,4,1,1
303,1,2,1,0,0,1,0,1,4,4,1
304,0,2,0,0,0,1,0,1,4,4,0
305,0,2,1,0,0,1,4,0,4,0,0
306,1,2,0,3,0,1,4,2,4,1,0
307,0,2,0,0,0,1,0,2,4,0,0
308,1,2,0,0,0,1,0,1,4,2,1
309,0,2,0,0,0,0,1,0,4,2,0
310,0,2,1,0,0,0,1,0,4,2,0
311,1,2,0,0,0,0,1,0,4,3,0
312,1,2,1,0,0,0,0,1,4,4,0
313,1,2,0,0,0,1,4,2,4,1,1
314,1,2,1,0,0,1,4,2,4,3,0
315,1,2,0,3,0,1,4,2,4,3,0
